Cliente,Producto,SKU,Fecha de creación (PST),Estado de la suscripción,Plan de pago,Fecha de renovación (PST),Licencias asignadas,Licencias compradas,ID único de cliente,ID de Cloud Identity,ID de aprovisionamiento
abatmarcet.net,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,S9VKoUxw0jG14B,C00z9qau2,3326030352
agaudi.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SY8ZQIGYdijb6W,C01wi5hn4,3333050126
agnesarmengol.com,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SMPUYEICO1hIz1,C02ejf2bi,3351985701
aguimera.com,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SjQIsWE66cgbgp,C03sklbvt,3326346128
aguimeraescola.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,S8Tdh28fNnRb0f,C01w7rxt9,3326099405
agustibarbera.cat,Google Workspace,Google Workspace for Education Fundamentals,25 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SeUe7TGbU0ksRk,C01x4iwjx,3336129906
alberichicasas.com,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,Szzhpy13PjeRCL,C00hvh32w,3326188930
aldric.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SDzsXDV4PmuYP6,C030m3zfo,3332815706
alfredmata.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SPZZvMr7ibkTie,C02rq38uj,3326111703
alumnestorreta.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SqxDJmqcQhUUly,C03p3pei7,3333226210
amatitarga.cat,Google Workspace,Google Workspace for Education Fundamentals,16 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SmeI1VaPcG7S8n,C00rjufvi,3397308368
